,Variety,Country,Province,Region,Subregion,count,geo_normalized
0,"Aglianico, Italian Red",Italy,Italy Other,Vino Spumante,none,5,
2,"Aglianico, Italian Red",Italy,Southern Italy,Aglianico del Taburno,none,13,"Campania, Southern Italy, Italy"
3,"Aglianico, Italian Red",Italy,Southern Italy,Aglianico del Vulture,none,68,"Basilicata, Southern Italy, Italy"
4,"Aglianico, Italian Red",Italy,Southern Italy,Basilicata,none,2,"Basilicata, Southern Italy, Italy"
5,"Aglianico, Italian Red",Italy,Southern Italy,Beneventano,none,2,"Campania, Southern Italy, Italy"
6,"Aglianico, Italian Red",Italy,Southern Italy,Campania,none,30,"Campania, Southern Italy, Italy"
7,"Aglianico, Italian Red",Italy,Southern Italy,Castel del Monte,none,4,"Puglia, Southern Italy, Italy"
9,"Aglianico, Italian Red",Italy,Southern Italy,Falerno del Massico,none,3,"Campania, Southern Italy, Italy"
10,"Aglianico, Italian Red",Italy,Southern Italy,Irpinia,none,60,"Campania, Southern Italy, Italy"
11,"Aglianico, Italian Red",Italy,Southern Italy,Molise,none,2,"Molise, Southern Italy, Italy"
13,"Aglianico, Italian Red",Italy,Southern Italy,Puglia,none,6,"Puglia, Southern Italy, Italy"
15,"Aglianico, Italian Red",Italy,Southern Italy,Sannio,none,14,"Campania, Southern Italy, Italy"
17,"Aglianico, Italian Red",Italy,Southern Italy,Taurasi,none,124,"Campania, Southern Italy, Italy"
19,"Aglianico, Italian Red",US,California,Central Coast,Paso Robles,5,"Paso Robles, Central Coast, California, USA"
22,"Aglianico, Italian Red",US,California,Lake County,none,2,"Clear Lake, North Coast, California"
26,"Aglianico, Italian Red",US,California,Sierra Foothills,Amador County,5,"Sierra Foothills, California, USA"
29,"Aglianico, Italian Red",US,California,Sierra Foothills,Sierra Foothills,2,"Sierra Foothills, California, USA"
36,"Albana, Italian White",Italy,Central Italy,Romagna,none,13,"Emilia-Romagna, Northeast Italy, Italy"
42,"Alicante, Grenache",Italy,Sicily & Sardinia,Menfi,none,2,"Sicily, Southern Italy, Italy"
44,"Alicante, Grenache",Italy,Tuscany,Toscana,none,2,"Tuscany, Central Italy, Italy"
45,"Alsace white blend, White Blend",France,Alsace,Alsace,none,107,"Alsace, France"
46,"Alvarinho-Chardonnay, White Blend",Portugal,Lisboa,none,none,6,"Lisboa, Portugal"
48,"Aragonez, Tempranillo",Portugal,Alentejano,none,none,10,"Alentejo, Portugal"
49,"Aragonez, Tempranillo",Portugal,Lisboa,none,none,2,"Lisboa, Portugal"
50,"Aragonez, Tempranillo",Portugal,PenÃ­nsula de SetÃºbal,none,none,2,"Setubal, Portugal"
51,"AragonÃªs, Tempranillo",Portugal,Alentejano,none,none,18,"Alentejo, Portugal"
52,"AragonÃªs, Tempranillo",Portugal,Alentejo,none,none,2,"Alentejo, Portugal"
54,"Arinto-Chardonnay, White Blend",Portugal,Tejo,none,none,2,"Tejo, Portugal"
55,"Arneis, Italian White",Italy,Italy Other,Vino Spumante,none,2,
56,"Arneis, Italian White",Italy,Piedmont,Langhe,none,4,"Piedmont, Northwest Italy, Italy"
57,"Arneis, Italian White",Italy,Piedmont,Roero,none,42,"Piedmont, Northwest Italy, Italy"
60,"Arneis, Italian White",US,California,Mendocino County,Mendocino,2,"Mendocino, North Coast, California, USA"
61,"Arneis, Italian White",US,California,Mendocino County,Mendocino County,3,"Mendocino, North Coast, California, USA"
68,"Austrian Red Blend, Red Blends",Austria,Austria,none,none,2,
69,"Austrian Red Blend, Red Blends",Austria,Burgenland,none,none,77,"Burgenland, Austria"
70,"Austrian Red Blend, Red Blends",Austria,Carnuntum,none,none,6,"Niederosterreich, Austria"
71,"Austrian Red Blend, Red Blends",Austria,NiederÃ¶sterreich,none,none,10,"Niederosterreich, Austria"
72,"Austrian Red Blend, Red Blends",Austria,Steiermark,none,none,2,"Steiermark, Austria"
73,"Austrian Red Blend, Red Blends",Austria,Thermenregion,none,none,3,"Niederosterreich, Austria"
75,"Austrian Red Blend, Red Blends",Austria,Weinland Ãsterreich,none,none,3,
78,"Austrian white blend, White Blend",Austria,Burgenland,none,none,37,"Burgenland, Austria"
80,"Austrian white blend, White Blend",Austria,NiederÃ¶sterreich,none,none,17,"Niederosterreich, Austria"
81,"Austrian white blend, White Blend",Austria,Steiermark,none,none,3,"Steiermark, Austria"
82,"Austrian white blend, White Blend",Austria,SÃ¼doststeiermark,none,none,3,"Steiermark, Austria"
83,"Austrian white blend, White Blend",Austria,Thermenregion,none,none,15,"Niederosterreich, Austria"
84,"Austrian white blend, White Blend",Austria,Vienna,none,none,15,"Vienna, Austria"
85,"Austrian white blend, White Blend",Austria,Vulkanland Steiermark,none,none,2,"Steiermark, Austria"
89,"Austrian white blend, White Blend",Austria,Wiener Gemischter Satz,none,none,32,"Niederosterreich, Austria"
90,"Austrian white blend, White Blend",Austria,Ãsterreichischer Sekt,none,none,3,
95,"Bombino Bianco, Italian White",Italy,Southern Italy,Castel del Monte,none,2,"Puglia, Southern Italy, Italy"
96,Bordeaux-style Red Blend,Argentina,Mendoza Province,Agrelo,none,3,"Mendoza, Argentina"
99,Bordeaux-style Red Blend,Argentina,Mendoza Province,LujÃ¡n de Cuyo,none,11,"Mendoza, Argentina"
100,Bordeaux-style Red Blend,Argentina,Mendoza Province,Mendoza,none,133,"Mendoza, Argentina"
101,Bordeaux-style Red Blend,Argentina,Mendoza Province,Tupungato,none,14,"Mendoza, Argentina"
102,Bordeaux-style Red Blend,Argentina,Mendoza Province,Uco Valley,none,18,"Mendoza, Argentina"
103,Bordeaux-style Red Blend,Argentina,Mendoza Province,Vista Flores,none,3,"Mendoza, Argentina"
106,Bordeaux-style Red Blend,Argentina,Other,Cafayate,none,4,"Salta, Argentina"
107,Bordeaux-style Red Blend,Argentina,Other,CalchaquÃ­ Valley,none,2,"Salta, Argentina"
109,Bordeaux-style Red Blend,Argentina,Other,Patagonia,none,3,"Patagonia, Argentina"
110,Bordeaux-style Red Blend,Argentina,Other,Salta,none,4,"Salta, Argentina"
114,Bordeaux-style Red Blend,Australia,South Australia,Adelaide,none,2,"South Australia, Australia"
116,Bordeaux-style Red Blend,Australia,South Australia,Barossa,none,2,"South Australia, Australia"
117,Bordeaux-style Red Blend,Australia,South Australia,Barossa Valley,none,5,"South Australia, Australia"
119,Bordeaux-style Red Blend,Australia,South Australia,Coonawarra,none,8,"South Australia, Australia"
122,Bordeaux-style Red Blend,Australia,South Australia,McLaren Vale,none,5,"South Australia, Australia"
123,Bordeaux-style Red Blend,Australia,South Australia,McLaren Vale-Adelaide Hills,none,2,"South Australia, Australia"
124,Bordeaux-style Red Blend,Australia,Victoria,Yarra Valley,none,11,"Victoria, Australia"
125,Bordeaux-style Red Blend,Australia,Western Australia,Frankland River,none,2,"Western Australia, Australia"
126,Bordeaux-style Red Blend,Australia,Western Australia,Margaret River,none,27,"Western Australia, Australia"
127,Bordeaux-style Red Blend,Australia,Western Australia,Pemberton,none,2,"Western Australia, Australia"
128,Bordeaux-style Red Blend,Austria,Burgenland,none,none,5,"Burgenland, Austria"
133,Bordeaux-style Red Blend,Bulgaria,Thracian Valley,none,none,3,"Thracian Valley, Bulgaria"
134,Bordeaux-style Red Blend,Canada,British Columbia,Okanagan Valley,none,24,"British Columbia, Canada"
135,Bordeaux-style Red Blend,Canada,British Columbia,Similkameen Valley,none,2,"British Columbia, Canada"
137,Bordeaux-style Red Blend,Chile,Aconcagua Valley,none,none,11,"Aconcagua Valley, Aconcagua Region, Chile"
142,Bordeaux-style Red Blend,Chile,Colchagua Valley,none,none,12,"Colchagua Valley, Central Valley, Chile"
145,Bordeaux-style Red Blend,Chile,Maipo Valley,none,none,19,"Maipo Valley, Central Valley, Chile"
146,Bordeaux-style Red Blend,Chile,Maule Valley,none,none,19,"Maule Valley, Central Valley, Chile"
147,Bordeaux-style Red Blend,Chile,Santa Cruz,none,none,3,"Colchagua Valley, Central Valley, Chile"
149,Bordeaux-style Red Blend,France,Bordeaux,Blaye CÃ´tes de Bordeaux,none,424,"Bourg & Blaye, Bordeaux, France"
150,Bordeaux-style Red Blend,France,Bordeaux,Bordeaux,none,814,
152,Bordeaux-style Red Blend,France,Bordeaux,Bordeaux Clairet,none,29,
153,Bordeaux-style Red Blend,France,Bordeaux,Bordeaux CÃ´tes de Francs,none,5,"Libournais, Bordeaux, France"
154,Bordeaux-style Red Blend,France,Bordeaux,Bordeaux RosÃ©,none,18,
155,Bordeaux-style Red Blend,France,Bordeaux,Bordeaux SupÃ©rieur,none,733,
157,Bordeaux-style Red Blend,France,Bordeaux,Cadillac CÃ´tes de Bordeaux,none,159,"Entre-Deux-Mers, Bordeaux"
158,Bordeaux-style Red Blend,France,Bordeaux,Canon-Fronsac,none,19,"Libournais, Bordeaux, France"
159,Bordeaux-style Red Blend,France,Bordeaux,Castillon CÃ´tes de Bordeaux,none,226,"Libournais, Bordeaux, France"
160,Bordeaux-style Red Blend,France,Bordeaux,CÃ´tes de Bordeaux,none,84,"Bourg & Blaye, Bordeaux, France"
161,Bordeaux-style Red Blend,France,Bordeaux,CÃ´tes de Bordeaux Francs,none,2,"Libournais, Bordeaux, France"
162,Bordeaux-style Red Blend,France,Bordeaux,CÃ´tes de Bourg,none,152,"Bourg & Blaye, Bordeaux, France"
163,Bordeaux-style Red Blend,France,Bordeaux,CÃ´tes de Castillon,none,16,"Libournais, Bordeaux, France"
164,Bordeaux-style Red Blend,France,Bordeaux,Entre-Deux-Mers,none,2,"Entre-Deux-Mers, Bordeaux"
165,Bordeaux-style Red Blend,France,Bordeaux,Francs CÃ´tes de Bordeaux,none,37,"Libournais, Bordeaux, France"
166,Bordeaux-style Red Blend,France,Bordeaux,Fronsac,none,78,"Libournais, Bordeaux, France"
167,Bordeaux-style Red Blend,France,Bordeaux,Graves,none,199,"Graves, Bordeaux, France"
168,Bordeaux-style Red Blend,France,Bordeaux,Haut-MÃ©doc,none,816,"Medoc, Bordeaux, France"
169,Bordeaux-style Red Blend,France,Bordeaux,Lalande de Pomerol,none,133,"Libournais, Bordeaux, France"
170,Bordeaux-style Red Blend,France,Bordeaux,Listrac,none,2,"Medoc, Bordeaux, France"
171,Bordeaux-style Red Blend,France,Bordeaux,Listrac-MÃ©doc,none,154,"Medoc, Bordeaux, France"
172,Bordeaux-style Red Blend,France,Bordeaux,Lussac Saint-Ãmilion,none,62,"Libournais, Bordeaux, France"
173,Bordeaux-style Red Blend,France,Bordeaux,Margaux,none,751,"Medoc, Bordeaux, France"
174,Bordeaux-style Red Blend,France,Bordeaux,Montagne-Saint-Ãmilion,none,64,"Libournais, Bordeaux, France"
175,Bordeaux-style Red Blend,France,Bordeaux,Moulis,none,3,"Medoc, Bordeaux, France"
176,Bordeaux-style Red Blend,France,Bordeaux,Moulis-en-MÃ©doc,none,151,"Medoc, Bordeaux, France"
177,Bordeaux-style Red Blend,France,Bordeaux,MÃ©doc,none,638,"Medoc, Bordeaux, France"
178,Bordeaux-style Red Blend,France,Bordeaux,Pauillac,none,563,"Medoc, Bordeaux, France"
179,Bordeaux-style Red Blend,France,Bordeaux,Pessac-LÃ©ognan,none,585,"Graves, Bordeaux, France"
180,Bordeaux-style Red Blend,France,Bordeaux,Pomerol,none,541,"Libournais, Bordeaux, France"
181,Bordeaux-style Red Blend,France,Bordeaux,Premieres CÃ´tes de Blaye,none,30,"Bourg & Blaye, Bordeaux, France"
182,Bordeaux-style Red Blend,France,Bordeaux,Premieres CÃ´tes de Bordeaux,none,35,"Sauternais, Bordeaux, France"
183,Bordeaux-style Red Blend,France,Bordeaux,Puisseguin Saint-Ãmilion,none,42,"Libournais, Bordeaux, France"
184,Bordeaux-style Red Blend,France,Bordeaux,Saint-EstÃ¨phe,none,484,"Medoc, Bordeaux, France"
185,Bordeaux-style Red Blend,France,Bordeaux,Saint-Georges-Saint-Ãmilion,none,11,"Libournais, Bordeaux, France"
186,Bordeaux-style Red Blend,France,Bordeaux,Saint-Julien,none,430,"Medoc, Bordeaux, France"
187,Bordeaux-style Red Blend,France,Bordeaux,Saint-Ãmilion,none,1551,"Libournais, Bordeaux, France"
188,Bordeaux-style Red Blend,France,Bordeaux,Sainte-Foy Bordeaux,none,8,"Entre-Deux-Mers, Bordeaux"
189,Bordeaux-style Red Blend,France,Bordeaux,Sainte-Foy CÃ´tes de Bordeaux,none,2,"Entre-Deux-Mers, Bordeaux"
190,Bordeaux-style Red Blend,France,Bordeaux,Sauternes,none,3,"Sauternais, Bordeaux, France"
194,Bordeaux-style Red Blend,France,France Other,Vin de France,none,3,
199,Bordeaux-style Red Blend,France,Loire Valley,Anjou,none,2,"Anjou-Saumar, Loire Valley, France"
202,Bordeaux-style Red Blend,France,Provence,Coteaux de Verdon,none,2,"Provence, France"
204,Bordeaux-style Red Blend,France,Southwest France,Bergerac,none,55,"Southwest France, France"
206,Bordeaux-style Red Blend,France,Southwest France,Buzet,none,23,"Southwest France, France"
207,Bordeaux-style Red Blend,France,Southwest France,Cahors,none,119,"Southwest France, France"
208,Bordeaux-style Red Blend,France,Southwest France,ComtÃ© Tolosan,none,2,"Southwest France, France"
209,Bordeaux-style Red Blend,France,Southwest France,CÃ´tes de Bergerac,none,30,"Southwest France, France"
210,Bordeaux-style Red Blend,France,Southwest France,CÃ´tes de Duras,none,8,"Southwest France, France"
211,Bordeaux-style Red Blend,France,Southwest France,CÃ´tes de Gascogne,none,4,"Southwest France, France"
212,Bordeaux-style Red Blend,France,Southwest France,CÃ´tes du Lot,none,2,"Southwest France, France"
213,Bordeaux-style Red Blend,France,Southwest France,CÃ´tes du Marmandais,none,7,"Southwest France, France"
214,Bordeaux-style Red Blend,France,Southwest France,CÃ´tes du Tarn,none,12,"Southwest France, France"
215,Bordeaux-style Red Blend,France,Southwest France,Montravel,none,12,"Southwest France, France"
216,Bordeaux-style Red Blend,France,Southwest France,PÃ©charmant,none,8,"Southwest France, France"
221,Bordeaux-style Red Blend,Greece,Peloponnese,none,none,2,"Southern Greece, Greece"
222,Bordeaux-style Red Blend,Hungary,VillÃ¡ny,none,none,12,"Villany, Hungary"
223,Bordeaux-style Red Blend,Israel,Galilee,none,none,26,"Galilee, Israel"
224,Bordeaux-style Red Blend,Israel,Haut-JudeÃ©,none,none,5,"Judea, Israel"
227,Bordeaux-style Red Blend,Israel,Judean Hills,none,none,27,"Judea, Israel"
233,Bordeaux-style Red Blend,Italy,Tuscany,Bolgheri,none,4,"Tuscany, Central Italy, Italy"
236,Bordeaux-style Red Blend,Italy,Tuscany,Toscana,none,2,"Tuscany, Central Italy, Italy"
238,Bordeaux-style Red Blend,Mexico,Valle de Guadalupe,none,none,2,"Valle de Guadalupe, Mexico"
239,Bordeaux-style Red Blend,Moldova,Moldova,none,none,3,
240,Bordeaux-style Red Blend,New Zealand,Hawke's Bay,none,none,82,"Hawke's Bay, New Zealand"
242,Bordeaux-style Red Blend,New Zealand,Nelson,none,none,3,"Nelson, New Zealand"
244,Bordeaux-style Red Blend,New Zealand,Waiheke Island,none,none,3,"Auckland, New Zealand"
245,Bordeaux-style Red Blend,New Zealand,Wairarapa,none,none,3,"Wairarapa, New Zealand"
247,Bordeaux-style Red Blend,Portugal,Bairrada,none,none,4,"Bairrada, Portugal"
249,Bordeaux-style Red Blend,Portugal,PenÃ­nsula de SetÃºbal,none,none,4,"Setubal, Portugal"
250,Bordeaux-style Red Blend,Portugal,Terras do Sado,none,none,2,"Setubal, Portugal"
251,Bordeaux-style Red Blend,Slovenia,Goriska Brda,none,none,5,"Littoral, Slovenia"
252,Bordeaux-style Red Blend,South Africa,Coastal Region,none,none,10,"Coastal Region, South Africa"
253,Bordeaux-style Red Blend,South Africa,Constantia,none,none,5,"Coastal Region, South Africa"
254,Bordeaux-style Red Blend,South Africa,Durbanville,none,none,2,"Coastal Region, South Africa"
256,Bordeaux-style Red Blend,South Africa,Franschhoek,none,none,5,"Coastal Region, South Africa"
257,Bordeaux-style Red Blend,South Africa,Paarl,none,none,27,"Coastal Region, South Africa"
258,Bordeaux-style Red Blend,South Africa,Philadelphia,none,none,3,"Coastal Region, South Africa"
260,Bordeaux-style Red Blend,South Africa,Simonsberg-Paarl,none,none,3,"Coastal Region, South Africa"
261,Bordeaux-style Red Blend,South Africa,Simonsberg-Stellenbosch,none,none,11,"Coastal Region, South Africa"
262,Bordeaux-style Red Blend,South Africa,Stellenbosch,none,none,89,"Coastal Region, South Africa"
264,Bordeaux-style Red Blend,South Africa,Walker Bay,none,none,2,"Cape South Coast, South Africa"
265,Bordeaux-style Red Blend,South Africa,Wellington,none,none,2,"Coastal Region, South Africa"
266,Bordeaux-style Red Blend,South Africa,Western Cape,none,none,3,
267,Bordeaux-style Red Blend,Spain,Catalonia,PenedÃ¨s,none,9,"Catalunya, Northeast Spain, Spain"
268,Bordeaux-style Red Blend,Spain,Central Spain,Vino de la Tierra de Castilla,none,4,"Castilla-La Mancha, Central Spain, Spain"
271,Bordeaux-style Red Blend,Spain,Northern Spain,EmpordÃ,none,3,"Catalunya, Northeast Spain, Spain"
272,Bordeaux-style Red Blend,Spain,Northern Spain,Navarra,none,3,"Navarra, Northeast Spain, Spain"
273,Bordeaux-style Red Blend,Turkey,Aegean,none,none,2,"Aegean Region, Turkey"
276,Bordeaux-style Red Blend,US,America,none,none,2,
277,Bordeaux-style Red Blend,US,California,California Other,California,17,
278,Bordeaux-style Red Blend,US,California,Central Coast,Adelaida District,13,"Paso Robles, Central Coast, California, USA"
279,Bordeaux-style Red Blend,US,California,Central Coast,Carmel Valley,2,"Monterey, Central Coast, California, USA"
280,Bordeaux-style Red Blend,US,California,Central Coast,Central Coast,7,
282,Bordeaux-style Red Blend,US,California,Central Coast,Happy Canyon of Santa Barbara,35,"Santa Barbara, Central Coast, California, USA"
283,Bordeaux-style Red Blend,US,California,Central Coast,Livermore Valley,25,"San Francisco Bay, Central Coast, California, USA"
284,Bordeaux-style Red Blend,US,California,Central Coast,Los Olivos District,3,"Santa Barbara, Central Coast, California, USA"
286,Bordeaux-style Red Blend,US,California,Central Coast,Paicines,4,"San Benito, Central Coast, California, USA"
287,Bordeaux-style Red Blend,US,California,Central Coast,Paso Robles,125,"Paso Robles, Central Coast, California, USA"
288,Bordeaux-style Red Blend,US,California,Central Coast,Paso Robles Willow Creek District,11,"Paso Robles, Central Coast, California, USA"
289,Bordeaux-style Red Blend,US,California,Central Coast,Santa Barbara County,11,"Santa Barbara, Central Coast, California, USA"
290,Bordeaux-style Red Blend,US,California,Central Coast,Santa Clara Valley,8,"San Francisco Bay, Central Coast, California, USA"
291,Bordeaux-style Red Blend,US,California,Central Coast,Santa Cruz Mountains,20,"San Francisco Bay, Central Coast, California, USA"
293,Bordeaux-style Red Blend,US,California,Central Coast,Santa Ynez Valley,20,"Santa Barbara, Central Coast, California, USA"
294,Bordeaux-style Red Blend,US,California,Central Coast,Templeton Gap District,2,"Paso Robles, Central Coast, California, USA"
296,Bordeaux-style Red Blend,US,California,Central Valley,Lodi,4,"Inland Valleys, California, USA"
297,Bordeaux-style Red Blend,US,California,Lake County,Lake County,3,"Clear Lake, North Coast, California"
299,Bordeaux-style Red Blend,US,California,Mendocino County,Mendocino,3,"Mendocino, North Coast, California, USA"
301,Bordeaux-style Red Blend,US,California,Napa,Calistoga,4,"Napa Valley, North Coast, California, USA"
302,Bordeaux-style Red Blend,US,California,Napa,Coombsville,3,"Napa Valley, North Coast, California, USA"
303,Bordeaux-style Red Blend,US,California,Napa,Diamond Mountain District,9,"Napa Valley, North Coast, California, USA"
304,Bordeaux-style Red Blend,US,California,Napa,Howell Mountain,7,"Napa Valley, North Coast, California, USA"
305,Bordeaux-style Red Blend,US,California,Napa,Mount Veeder,3,"Napa Valley, North Coast, California, USA"
306,Bordeaux-style Red Blend,US,California,Napa,Napa County,2,"Napa Valley, North Coast, California, USA"
307,Bordeaux-style Red Blend,US,California,Napa,Napa Valley,253,"Napa Valley, North Coast, California, USA"
308,Bordeaux-style Red Blend,US,California,Napa,Oak Knoll District,2,"Napa Valley, North Coast, California, USA"
309,Bordeaux-style Red Blend,US,California,Napa,Oakville,6,"Napa Valley, North Coast, California, USA"
310,Bordeaux-style Red Blend,US,California,Napa,Rutherford,13,"Napa Valley, North Coast, California, USA"
311,Bordeaux-style Red Blend,US,California,Napa,Spring Mountain District,6,"Napa Valley, North Coast, California, USA"
313,Bordeaux-style Red Blend,US,California,Napa,Stags Leap District,5,"Napa Valley, North Coast, California, USA"
314,Bordeaux-style Red Blend,US,California,Napa,Yountville,4,"Napa Valley, North Coast, California, USA"
315,Bordeaux-style Red Blend,US,California,North Coast,North Coast,4,
317,Bordeaux-style Red Blend,US,California,North Coast,Yorkville Highlands,2,"Mendocino, North Coast, California, USA"
319,Bordeaux-style Red Blend,US,California,Sierra Foothills,El Dorado,6,"Sierra Foothills, California, USA"
320,Bordeaux-style Red Blend,US,California,Sierra Foothills,Fair Play,4,"Sierra Foothills, California, USA"
322,Bordeaux-style Red Blend,US,California,Sierra Foothills,Sierra Foothills,9,"Sierra Foothills, California, USA"
323,Bordeaux-style Red Blend,US,California,Sonoma,Alexander Valley,29,"Sonoma Valley, North Coast, California, USA"
325,Bordeaux-style Red Blend,US,California,Sonoma,Chalk Hill,9,"Sonoma Valley, North Coast, California, USA"
326,Bordeaux-style Red Blend,US,California,Sonoma,Dry Creek Valley,15,"Sonoma Valley, North Coast, California, USA"
328,Bordeaux-style Red Blend,US,California,Sonoma,Knights Valley,3,"Sonoma Valley, North Coast, California, USA"
329,Bordeaux-style Red Blend,US,California,Sonoma,Moon Mountain District Sonoma County,3,"Sonoma Valley, North Coast, California, USA"
330,Bordeaux-style Red Blend,US,California,Sonoma,Rockpile,4,"Sonoma Valley, North Coast, California, USA"
331,Bordeaux-style Red Blend,US,California,Sonoma,Russian River Valley,2,"Sonoma Valley, North Coast, California, USA"
332,Bordeaux-style Red Blend,US,California,Sonoma,Sonoma County,40,"Sonoma Valley, North Coast, California, USA"
333,Bordeaux-style Red Blend,US,California,Sonoma,Sonoma Mountain,5,"Sonoma Valley, North Coast, California, USA"
334,Bordeaux-style Red Blend,US,California,Sonoma,Sonoma Valley,13,"Sonoma Valley, North Coast, California, USA"
336,Bordeaux-style Red Blend,US,California,South Coast,Malibu Coast,2,"South Coast, California, USA"
338,Bordeaux-style Red Blend,US,California,South Coast,San Diego County,2,"South Coast, California, USA"
339,Bordeaux-style Red Blend,US,California,South Coast,South Coast,5,"South Coast, California, USA"
340,Bordeaux-style Red Blend,US,California,South Coast,Temecula,2,"South Coast, California, USA"
341,Bordeaux-style Red Blend,US,California,South Coast,Temecula Valley,12,"South Coast, California, USA"
342,Bordeaux-style Red Blend,US,Colorado,Colorado,none,4,"Colorado, USA"
343,Bordeaux-style Red Blend,US,Colorado,Grand Valley,none,8,"Colorado, USA"
344,Bordeaux-style Red Blend,US,Idaho,Idaho,none,3,"Idaho, USA"
345,Bordeaux-style Red Blend,US,Idaho,Lewis-Clark Valley (ID),none,2,"Idaho, USA"
346,Bordeaux-style Red Blend,US,Idaho,none,none,8,"Idaho, USA"
347,Bordeaux-style Red Blend,US,Michigan,Lake Michigan Shore,none,3,"Michigan, USA"
348,Bordeaux-style Red Blend,US,Michigan,Leelanau Peninsula,none,2,"Michigan, USA"
349,Bordeaux-style Red Blend,US,Michigan,Old Mission Peninsula,none,2,"Michigan, USA"
351,Bordeaux-style Red Blend,US,New Jersey,Outer Coastal Plain,none,3,"New Jersey, USA"
352,Bordeaux-style Red Blend,US,New Mexico,New Mexico,none,2,"New Mexico, USA"
353,Bordeaux-style Red Blend,US,New York,Finger Lakes,Finger Lakes,49,"Finger Lakes, New York, USA"
354,Bordeaux-style Red Blend,US,New York,Finger Lakes,Seneca Lake,5,"Finger Lakes, New York, USA"
355,Bordeaux-style Red Blend,US,New York,Long Island,Long Island,7,"Long Island, New York, USA"
356,Bordeaux-style Red Blend,US,New York,Long Island,North Fork of Long Island,84,"Long Island, New York, USA"
357,Bordeaux-style Red Blend,US,New York,New York Other,New York,13,
359,Bordeaux-style Red Blend,US,North Carolina,Yadkin Valley,none,2,"North Carolina, USA"
360,Bordeaux-style Red Blend,US,Oregon,Oregon Other,Columbia Valley (OR),7,"Columbia Valley, Oregon, USA"
361,Bordeaux-style Red Blend,US,Oregon,Oregon Other,Oregon,2,
362,Bordeaux-style Red Blend,US,Oregon,Oregon Other,Walla Walla Valley (OR),15,"Columbia Valley, Oregon, USA"
363,Bordeaux-style Red Blend,US,Oregon,Southern Oregon,Applegate Valley,5,"Southern Oregon, Oregon, USA"
364,Bordeaux-style Red Blend,US,Oregon,Southern Oregon,Rogue Valley,12,"Southern Oregon, Oregon, USA"
365,Bordeaux-style Red Blend,US,Oregon,Southern Oregon,Southern Oregon,4,"Southern Oregon, Oregon, USA"
368,Bordeaux-style Red Blend,US,Virginia,Middleburg,none,2,"Virginia, USA"
369,Bordeaux-style Red Blend,US,Virginia,Monticello,none,19,"Virginia, USA"
370,Bordeaux-style Red Blend,US,Virginia,Shenandoah Valley,none,2,"Virginia, USA"
371,Bordeaux-style Red Blend,US,Virginia,Virginia,none,59,"Virginia, USA"
372,Bordeaux-style Red Blend,US,Virginia,Virginia's Eastern Shore,none,3,"Virginia, USA"
373,Bordeaux-style Red Blend,US,Washington,Columbia Valley,Columbia Valley (WA),660,"Columbia Valley, Washington, USA"
374,Bordeaux-style Red Blend,US,Washington,Columbia Valley,Horse Heaven Hills,30,"Columbia Valley, Washington, USA"
375,Bordeaux-style Red Blend,US,Washington,Columbia Valley,Naches Heights,2,"Columbia Valley, Washington, USA"
376,Bordeaux-style Red Blend,US,Washington,Columbia Valley,Rattlesnake Hills,3,"Columbia Valley, Washington, USA"
377,Bordeaux-style Red Blend,US,Washington,Columbia Valley,Red Mountain,196,"Columbia Valley, Washington, USA"
378,Bordeaux-style Red Blend,US,Washington,Columbia Valley,Snipes Mountain,6,"Columbia Valley, Washington, USA"
379,Bordeaux-style Red Blend,US,Washington,Columbia Valley,Wahluke Slope,9,"Columbia Valley, Washington, USA"
380,Bordeaux-style Red Blend,US,Washington,Columbia Valley,Walla Walla County,2,"Columbia Valley, Washington, USA"
381,Bordeaux-style Red Blend,US,Washington,Columbia Valley,Walla Walla Valley (WA),199,"Columbia Valley, Washington, USA"
382,Bordeaux-style Red Blend,US,Washington,Columbia Valley,Yakima Valley,118,"Columbia Valley, Washington, USA"
384,Bordeaux-style Red Blend,US,Washington,Washington Other,Washington,34,
387,"Bordeaux-style White Blend, White Blend",France,Bordeaux,Barsac,none,137,"Sauternais, Bordeaux, France"
388,"Bordeaux-style White Blend, White Blend",France,Bordeaux,Blaye CÃ´tes de Bordeaux,none,30,"Bourg & Blaye, Bordeaux, France"
390,"Bordeaux-style White Blend, White Blend",France,Bordeaux,Bordeaux Blanc,none,764,
391,"Bordeaux-style White Blend, White Blend",France,Bordeaux,Cadillac,none,9,"Sauternais, Bordeaux, France"
392,"Bordeaux-style White Blend, White Blend",France,Bordeaux,CÃ©rons,none,5,"Sauternais, Bordeaux, France"
393,"Bordeaux-style White Blend, White Blend",France,Bordeaux,CÃ´tes de Bordeaux,none,2,"Bourg & Blaye, Bordeaux, France"
394,"Bordeaux-style White Blend, White Blend",France,Bordeaux,CÃ´tes de Bordeaux Saint-Macaire,none,2,"Sauternais, Bordeaux, France"
396,"Bordeaux-style White Blend, White Blend",France,Bordeaux,Entre-Deux-Mers,none,104,"Entre-Deux-Mers, Bordeaux"
397,"Bordeaux-style White Blend, White Blend",France,Bordeaux,Entre-deux-Mers Haut-Benauge,none,4,"Entre-Deux-Mers, Bordeaux"
398,"Bordeaux-style White Blend, White Blend",France,Bordeaux,Francs CÃ´tes de Bordeaux,none,8,"Libournais, Bordeaux, France"
